,Origin Time,Latitude (WGS84),Longitude (WGS84),Magnitude,EventID,Evaluation Status
2010-03-01,,,,0.0,,
2010-03-02,,,,0.0,,
2010-03-03,,,,0.0,,
2010-03-04,,,,0.0,,
2010-03-05,,,,0.0,,
2010-03-06,,,,0.0,,
2010-03-07,,,,0.0,,
2010-03-08,2010-03-08T23:47:28.120Z,28.945999999999998,-98.039,3.0,usp000h8zg,reviewed
2010-03-09,,,,0.0,,
2010-03-10,,,,0.0,,
2010-03-11,,,,0.0,,
2010-03-12,,,,0.0,,
2010-03-13,,,,0.0,,
2010-03-14,,,,0.0,,
2010-03-15,,,,0.0,,
2010-03-16,,,,0.0,,
2010-03-17,,,,0.0,,
2010-03-18,,,,0.0,,
2010-03-19,,,,0.0,,
2010-03-20,,,,0.0,,
2010-03-21,,,,0.0,,
2010-03-22,,,,0.0,,
2010-03-23,,,,0.0,,
2010-03-24,,,,0.0,,
2010-03-25,,,,0.0,,
2010-03-26,,,,0.0,,
2010-03-27,,,,0.0,,
2010-03-28,,,,0.0,,
2010-03-29,,,,0.0,,
2010-03-30,,,,0.0,,
2010-03-31,,,,0.0,,
2010-04-01,,,,0.0,,
2010-04-02,,,,0.0,,
2010-04-03,,,,0.0,,
2010-04-04,,,,0.0,,
2010-04-05,,,,0.0,,
2010-04-06,,,,0.0,,
2010-04-07,,,,0.0,,
2010-04-08,,,,0.0,,
2010-04-09,,,,0.0,,
2010-04-10,,,,0.0,,
2010-04-11,,,,0.0,,
2010-04-12,,,,0.0,,
2010-04-13,,,,0.0,,
2010-04-14,,,,0.0,,
2010-04-15,,,,0.0,,
2010-04-16,,,,0.0,,
2010-04-17,,,,0.0,,
2010-04-18,,,,0.0,,
2010-04-19,,,,0.0,,
2010-04-20,,,,0.0,,
2010-04-21,,,,0.0,,
2010-04-22,,,,0.0,,
2010-04-23,,,,0.0,,
2010-04-24,,,,0.0,,
2010-04-25,,,,0.0,,
2010-04-26,,,,0.0,,
2010-04-27,,,,0.0,,
2010-04-28,,,,0.0,,
2010-04-29,,,,0.0,,
2010-04-30,,,,0.0,,
2010-05-01,,,,0.0,,
2010-05-02,,,,0.0,,
2010-05-03,,,,0.0,,
2010-05-04,,,,0.0,,
2010-05-05,,,,0.0,,
2010-05-06,,,,0.0,,
2010-05-07,,,,0.0,,
2010-05-08,,,,0.0,,
2010-05-09,,,,0.0,,
2010-05-10,,,,0.0,,
2010-05-11,,,,0.0,,
2010-05-12,,,,0.0,,
2010-05-13,,,,0.0,,
2010-05-14,,,,0.0,,
2010-05-15,,,,0.0,,
2010-05-16,,,,0.0,,
2010-05-17,,,,0.0,,
2010-05-18,,,,0.0,,
2010-05-19,,,,0.0,,
2010-05-20,,,,0.0,,
2010-05-21,,,,0.0,,
2010-05-22,,,,0.0,,
2010-05-23,,,,0.0,,
2010-05-24,,,,0.0,,
2010-05-25,,,,0.0,,
2010-05-26,,,,0.0,,
2010-05-27,,,,0.0,,
2010-05-28,,,,0.0,,
2010-05-29,,,,0.0,,
2010-05-30,,,,0.0,,
2010-05-31,,,,0.0,,
2010-06-01,,,,0.0,,
2010-06-02,,,,0.0,,
2010-06-03,,,,0.0,,
2010-06-04,,,,0.0,,
2010-06-05,,,,0.0,,
2010-06-06,,,,0.0,,
2010-06-07,,,,0.0,,
2010-06-08,,,,0.0,,
2010-06-09,,,,0.0,,
2010-06-10,,,,0.0,,
