,Daily_Avg,Daily_Sum,Daily_Count,Dly_Cnt_Diff,Rig_Count,WTI_Spot_Price,Brent_Spot_Price,fracs_per_day,volume_per_day,avg_volh2o_per_ft
2016-01-01,0.0,0.0,0,,33.0,37.13,36.61,9.0,5080097.754655172,1088.8295016835013
2016-01-02,0.0,0.0,0,0.0,33.0,37.13,36.61,11.0,5892633.5728369905,1044.7498608815424
2016-01-03,0.0,0.0,0,0.0,33.0,37.13,36.61,9.0,4539134.483948102,1125.5511346801345
2016-01-04,0.0,0.0,0,0.0,33.0,36.81,36.28,26.0,11350101.645852864,848.1122808857809
2016-01-05,0.0,0.0,0,0.0,33.0,35.97,35.56,26.0,11350101.645852864,848.1122808857809
2016-01-06,0.0,0.0,0,0.0,33.0,33.97,33.89,26.0,11955834.780852864,813.0479530885781
2016-01-07,0.0,0.0,0,0.0,33.0,33.29,33.57,27.0,12955516.580852864,817.9968574635242
2016-01-08,0.0,0.0,0,0.0,33.0,33.2,31.67,27.0,12955516.580852864,817.9968574635242
2016-01-09,0.0,0.0,0,0.0,33.0,33.2,31.67,27.0,12955516.580852864,817.9968574635242
2016-01-10,0.0,0.0,0,0.0,33.0,33.2,31.67,27.0,12955516.580852864,817.9968574635242
2016-01-11,0.0,0.0,0,0.0,33.0,31.42,30.14,27.0,12637356.080852864,809.0697951739618
2016-01-12,0.0,0.0,0,0.0,33.0,30.42,29.14,26.0,11963512.652281435,805.8281322843824
2016-01-13,0.0,0.0,0,0.0,33.0,30.42,28.58,23.0,9842218.741170323,786.6532279314887
2016-01-14,0.0,0.0,0,0.0,33.0,31.22,28.84,13.0,5884205.589655172,849.1255536130534
2016-01-15,0.0,0.0,0,0.0,33.0,29.45,28.8,9.0,5462365.129337712,1045.4699284511782
2016-01-16,0.0,0.0,0,0.0,33.0,29.45,28.8,5.0,5136621.93968254,1099.0024621212121
2016-01-17,0.0,0.0,0,0.0,33.0,29.45,28.8,67.0,62483841.93968254,1703.0921104703755
2016-01-18,0.0,0.0,0,0.0,33.0,29.45,27.36,88.0,73463334.06190476,1489.950495006887
2016-01-19,0.0,0.0,0,0.0,33.0,28.47,27.36,88.0,73463334.06190476,1489.950495006887
2016-01-20,0.0,0.0,0,0.0,33.0,26.68,26.01,87.0,70896518.06190476,1490.3129353883667
2016-01-21,0.0,0.0,0,0.0,33.0,29.55,27.59,87.0,70896518.06190476,1490.3129353883667
2016-01-22,0.0,0.0,0,0.0,33.0,32.07,30.46,89.0,71879503.5063492,1475.649087078652
2016-01-23,0.0,0.0,0,0.0,33.0,32.07,30.46,87.0,70644982.07777777,1490.7596852142112
2016-01-24,0.0,0.0,0,0.0,33.0,32.07,30.46,87.0,70644982.07777777,1490.7596852142112
2016-01-25,0.0,0.0,0,0.0,33.0,30.31,29.82,86.0,69963703.96666667,1494.590966349542
2016-01-26,0.0,0.0,0,0.0,33.0,29.54,30.94,85.0,69309697.56666666,1497.6020543672016
2016-01-27,0.0,0.0,0,0.0,33.0,32.32,31.83,67.0,59548041.56666668,1679.1908469018545
2016-01-28,0.0,0.0,0,0.0,33.0,33.21,33.01,4.0,1733945.3444444444,774.4539772727272
2016-01-29,0.0,0.0,0,0.0,33.0,33.66,33.14,2.0,982985.4444444445,837.7716856060606
2016-01-30,0.0,0.0,0,0.0,35.0,33.66,33.14,2.0,982985.4444444445,837.7716856060606
2016-01-31,0.0,0.0,0,0.0,35.0,33.66,33.14,4.0,3610322.1944444445,916.4875
2016-02-01,0.0,0.0,0,0.0,35.0,31.62,32.45,2.0,2627336.75,995.2033143939394
2016-02-02,0.0,0.0,0,0.0,35.0,29.9,30.98,5.0,3913240.95,885.16625
2016-02-03,0.0,0.0,0,0.0,35.0,32.29,32.38,5.0,3913240.95,885.16625
2016-02-04,0.0,0.0,0,0.0,35.0,31.63,32.76,5.0,3913240.95,885.16625
2016-02-05,0.0,0.0,0,0.0,35.0,30.86,32.35,5.0,3235943.4666666663,890.8832196969697
2016-02-06,0.0,0.0,0,0.0,32.0,30.86,32.35,6.0,5484379.866666666,1097.2695391414143
2016-02-07,0.0,0.0,0,0.0,32.0,30.86,32.35,9.0,7191023.644444443,1054.7410143097645
2016-02-08,0.0,0.0,0,0.0,32.0,29.71,31.64,12.0,8420902.019444443,946.3434343434345
2016-02-09,0.0,0.0,0,0.0,32.0,27.96,30.15,12.0,8420902.019444443,946.3434343434345
2016-02-10,0.0,0.0,0,0.0,32.0,27.54,29.64,12.0,8420902.019444443,946.3434343434345
2016-02-11,0.0,0.0,0,0.0,32.0,26.19,28.82,29.0,18797969.219444446,858.6963231452456
2016-02-12,0.0,0.0,0,0.0,32.0,29.32,31.8,28.0,17558301.152777776,854.2614245129871
2016-02-13,0.0,0.0,0,0.0,31.0,29.32,31.8,25.0,16272396.952777777,859.3558106060607
2016-02-14,0.0,0.0,0,0.0,31.0,29.32,31.8,28.0,17290082.052777775,836.1188988095239
2016-02-15,0.0,0.0,0,0.0,31.0,29.32,31.8,28.0,17290082.052777775,836.1188988095239
2016-02-16,0.0,0.0,0,0.0,31.0,29.05,31.09,30.0,19287056.386111107,856.0206060606062
2016-02-17,0.0,0.0,0,0.0,31.0,30.68,33.21,25.0,16728509.433333335,850.6418106060606
2016-02-18,0.0,0.0,0,0.0,31.0,30.77,33.2,27.0,19106585.833333336,877.266210718294
2016-02-19,0.0,0.0,0,0.0,31.0,29.59,31.66,10.0,7856858.833333333,913.5194886363637
2016-02-20,0.0,0.0,0,0.0,24.0,29.59,31.66,10.0,7856858.833333333,913.5194886363637
2016-02-21,0.0,0.0,0,0.0,24.0,29.59,31.66,10.0,7856858.833333333,913.5194886363637
2016-02-22,0.0,0.0,0,0.0,24.0,31.37,33.59,10.0,7856858.833333333,913.5194886363637
2016-02-23,0.0,0.0,0,0.0,24.0,31.84,31.9,8.0,5507005.7,816.4675426136364
2016-02-24,0.0,0.0,0,0.0,24.0,30.35,31.5,11.0,6996674.655555556,804.0210743801653
2016-02-25,0.0,0.0,0,0.0,24.0,31.4,32.83,8.0,6383736.555555556,868.3781486742425
2016-02-26,0.0,0.0,0,0.0,24.0,31.65,35.76,8.0,6383736.555555556,868.3781486742425
2016-02-27,0.0,0.0,0,0.0,25.0,31.65,35.76,8.0,6383736.555555556,868.3781486742425
2016-02-28,0.0,0.0,0,0.0,25.0,31.65,35.76,13.0,9782059.841269841,842.440413752914
2016-02-29,0.0,0.0,0,0.0,25.0,32.74,35.92,11.0,8646980.64126984,897.8945247933884
2016-03-01,0.0,0.0,0,0.0,25.0,34.39,35.73,9.0,6857607.8412698405,909.1508838383838
2016-03-02,0.0,0.0,0,0.0,25.0,34.57,36.38,8.0,4588725.841269841,754.2244318181819
2016-03-03,0.0,0.0,0,0.0,25.0,34.56,35.75,8.0,4588725.841269841,754.2244318181819
2016-03-04,0.0,0.0,0,0.0,25.0,35.91,37.61,10.0,7977811.221269842,1009.4439178030304
2016-03-05,0.0,0.0,0,0.0,23.0,35.91,37.61,16.0,8924552.332380952,684.8295437973485
2016-03-06,0.0,0.0,0,0.0,23.0,35.91,37.61,22.0,11438340.326031744,659.3007908057851
2016-03-07,0.0,0.0,0,0.0,23.0,37.9,39.02,19.0,9361740.040317459,618.5025703748006
2016-03-08,0.0,0.0,0,0.0,23.0,36.67,39.16,19.0,9361740.040317459,618.5025703748006
2016-03-09,0.0,0.0,0,0.0,23.0,37.62,40.26,18.0,7536909.706984127,595.2618566919193
2016-03-10,0.0,0.0,0,0.0,23.0,37.77,38.63,17.0,6395210.306984127,566.6799226827095
2016-03-11,0.0,0.0,0,0.0,23.0,38.51,39.41,17.0,6395210.306984127,566.6799226827095
2016-03-12,0.0,0.0,0,0.0,26.0,38.51,39.41,16.0,5741370.126984128,560.2213186553031
2016-03-13,0.0,0.0,0,0.0,26.0,38.51,39.41,19.0,6810313.255555555,566.7439194577353
2016-03-14,0.0,0.0,0,0.0,26.0,37.2,38.06,9.0,5101213.684126983,927.8371422558923
