,Daily_Sum,Daily_Avg,Daily_Count,Rig_Count,WTI_Spot_Price,Brent_Spot_Price,fracs_per_day,volume_per_day,avg_volh2o_per_ft,APIs
2010-03-01,0.0,0.0,0,22.0,,,,,,
2010-03-02,0.0,0.0,0,22.0,,,,,,
2010-03-03,0.0,0.0,0,22.0,,,,,,
2010-03-04,0.0,0.0,0,22.0,,,,,,
2010-03-05,0.0,0.0,0,22.0,,,,,,
2010-03-06,0.0,0.0,0,24.0,,,,,,
2010-03-07,0.0,0.0,0,24.0,,,,,,
2010-03-08,3.0,3.0,1,24.0,,,,,,
2010-03-09,0.0,0.0,0,24.0,,,,,,
2010-03-10,0.0,0.0,0,24.0,,,,,,
2010-03-11,0.0,0.0,0,24.0,,,,,,
2010-03-12,0.0,0.0,0,24.0,,,,,,
2010-03-13,0.0,0.0,0,23.0,,,,,,
2010-03-14,0.0,0.0,0,23.0,,,,,,
2010-03-15,0.0,0.0,0,23.0,,,,,,
2010-03-16,0.0,0.0,0,23.0,,,,,,
2010-03-17,0.0,0.0,0,23.0,,,,,,
2010-03-18,0.0,0.0,0,23.0,,,,,,
2010-03-19,0.0,0.0,0,23.0,,,,,,
2010-03-20,0.0,0.0,0,20.0,,,,,,
2010-03-21,0.0,0.0,0,20.0,,,,,,
2010-03-22,0.0,0.0,0,20.0,,,,,,
2010-03-23,0.0,0.0,0,20.0,,,,,,
2010-03-24,0.0,0.0,0,20.0,,,,,,
2010-03-25,0.0,0.0,0,20.0,,,,,,
2010-03-26,0.0,0.0,0,20.0,,,,,,
2010-03-27,0.0,0.0,0,22.0,,,,,,
2010-03-28,0.0,0.0,0,22.0,,,,,,
2010-03-29,0.0,0.0,0,22.0,,,,,,
2010-03-30,0.0,0.0,0,22.0,,,,,,
2010-03-31,0.0,0.0,0,22.0,,,,,,
2010-04-01,0.0,0.0,0,22.0,,,,,,
2010-04-02,0.0,0.0,0,26.0,,,,,,
2010-04-03,0.0,0.0,0,26.0,,,,,,
2010-04-04,0.0,0.0,0,26.0,,,,,,
2010-04-05,0.0,0.0,0,26.0,,,,,,
2010-04-06,0.0,0.0,0,26.0,,,,,,
2010-04-07,0.0,0.0,0,26.0,,,,,,
2010-04-08,0.0,0.0,0,26.0,,,,,,
2010-04-09,0.0,0.0,0,26.0,,,,,,
2010-04-10,0.0,0.0,0,26.0,,,,,,
2010-04-11,0.0,0.0,0,26.0,,,,,,
2010-04-12,0.0,0.0,0,26.0,,,,,,
2010-04-13,0.0,0.0,0,26.0,,,,,,
2010-04-14,0.0,0.0,0,26.0,,,,,,
2010-04-15,0.0,0.0,0,26.0,,,,,,
2010-04-16,0.0,0.0,0,26.0,,,,,,
2010-04-17,0.0,0.0,0,26.0,,,,,,
