EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2021awse,final,2021-01-13,10:10:20,1.5,,28.8730,0.6,-98.0932,0.6,2.1,2.3,1.7,0.3,21,15,TXNet,earthquake,Southern Texas,,,,,,,,,,39.8334176636445,2021-01-13 21:24:38
texnet2021aezu,final,2021-01-03,17:34:51,2.9,,28.8831,0.6,-98.1025,0.6,2.6,2.8,2.2,0.2,27,26,TXNet,earthquake,Southern Texas,,,,,,,,,,98.90979924879899,2021-01-07 19:27:27
texnet2021acsu,final,2021-01-02,11:45:29,2.1,,28.8840,0.7,-98.1056,0.7,2.5,2.6,1.7,0.2,21,19,TXNet,earthquake,Southern Texas,,,,,,,,,,43.1941973602545,2021-02-10 21:08:22
texnet2021abbz,preliminary,2021-01-01,14:08:12,1.9,,28.8803,1.5,-98.1118,0.9,5.4,5.5,3.2,0.2,12,9,TXNet,earthquake,Southern Texas,,,,,,,,,,29.98345042665,2021-01-14 22:55:56
texnet2021aaym,final,2021-01-01,12:21:50,2.8,,28.8840,0.8,-98.0890,0.8,6.1,6.2,1.9,0.2,14,13,TXNet,earthquake,Southern Texas,,,,,,,,,,28.80606884085,2021-01-04 17:14:42
texnet2021aart,final,2021-01-01,08:57:43,2.0,,28.8840,0.9,-98.1077,1.3,3.6,3.7,2.8,0.2,14,14,TXNet,earthquake,Southern Texas,,,,,,,,,,35.125033281975,2021-01-07 21:31:53
texnet2020zshl,final,2020-12-31,18:36:23,2.2,,28.8821,0.7,-98.1014,0.8,2.5,2.6,2.1,0.2,19,18,TXNet,earthquake,Southern Texas,,,,,,,,,,41.273178296175,2021-01-04 21:42:06
texnet2020yvlg,final,2020-12-19,06:24:22,1.4,,29.0341,1.5,-97.8740,1.6,0.7,0.8,2.6,0.2,12,11,TXNet,earthquake,Central Texas,,,,,,,,,,20.899841831694,2020-12-22 22:15:13
texnet2020ygpd,final,2020-12-11,03:19:40,1.7,,29.0543,0.9,-97.8285,1.1,4.0,4.1,2.4,0.2,12,11,TXNet,earthquake,Central Texas,,,,,,,,,,22.4561912890455,2020-12-13 16:27:23
texnet2020yftv,final,2020-12-10,16:34:08,2.0,,29.0964,1.2,-97.8388,1.1,2.3,2.4,2.3,0.3,17,14,TXNet,earthquake,Central Texas,,,,,,,,,,45.15423128054999,2020-12-11 15:38:54
