time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-03T17:34:50.406Z,28.8859,-98.1085,5,2.8,ml,,75,0.127,0.21,us,us6000d5ab,2021-02-01T14:49:49.159Z,"13 km SW of Falls City, Texas",earthquake,1.3,1.7,0.148,12,reviewed,us,us
2021-01-01T12:21:50.864Z,28.8387,-98.1177,5,2.6,ml,,85,0.161,0.54,us,us6000d4su,2021-01-26T07:56:06.040Z,"southern Texas",earthquake,4.1,2,0.097,14,reviewed,us,us
2020-11-05T16:39:11.461Z,29.0969,-97.8419,5,2.6,mb_lg,,66,0.121,0.65,us,us7000cauv,2021-01-23T22:25:29.040Z,"19 km SE of Stockdale, Texas",earthquake,1.7,1.9,0.128,16,reviewed,us,us
2020-10-11T15:16:11.434Z,28.5638,-98.1818,5,2.5,mb_lg,,112,0.372,0.99,us,us6000c7ug,2020-12-19T17:22:49.040Z,"11 km N of Three Rivers, Texas",earthquake,1.6,1.9,0.114,20,reviewed,us,us
2020-09-05T08:48:49.559Z,28.9193,-98.1317,5,2.8,mb_lg,,69,0.135,0.64,us,us7000bid5,2020-11-17T19:44:39.040Z,"13 km WSW of Falls City, Texas",earthquake,1.2,1.8,0.064,63,reviewed,us,us
2020-09-05T02:50:08.952Z,28.9152,-98.1215,5,2.6,mb_lg,,71,0.127,0.79,us,us7000bi90,2020-11-17T19:44:38.040Z,"12 km SW of Falls City, Texas",earthquake,1.4,1.9,0.128,16,reviewed,us,us
2020-09-05T01:48:01.252Z,28.9588,-98.1002,5,2.6,mb_lg,,61,0.105,1.08,us,us7000bi8g,2020-11-17T19:44:38.040Z,"8 km WSW of Falls City, Texas",earthquake,1.1,1.9,0.132,15,reviewed,us,us
2020-08-25T13:53:42.038Z,28.926,-98.083,5,2.5,mb_lg,,67,0.092,0.4,us,us7000bcpq,2020-10-31T19:06:27.040Z,"8 km SW of Falls City, Texas",earthquake,1.7,1.3,0.098,27,reviewed,us,us
2020-08-22T14:18:47.409Z,28.9481,-98.1013,5,2.6,mb_lg,,63,0.105,1.12,us,us6000bj24,2020-10-31T19:06:17.040Z,"9 km WSW of Falls City, Texas",earthquake,0.9,1.8,0.082,39,reviewed,us,us
2020-08-18T15:43:46.535Z,28.9675,-98.0986,5,2.5,mb_lg,,67,0.105,0.42,us,us6000bgm1,2020-10-24T20:09:04.040Z,"8 km WSW of Falls City, Texas",earthquake,1.6,1.8,0.111,21,reviewed,us,us
2020-08-18T13:55:42.760Z,28.9062,-98.0995,5,2.6,mb_lg,,71,0.112,0.21,us,us6000bgla,2020-10-24T20:09:04.040Z,"11 km SW of Falls City, Texas",earthquake,1.6,1.2,0.09,35,reviewed,us,us
2020-04-18T13:33:35.835Z,29.0748,-97.8228,5,3.1,mb_lg,,69,0.219,1.27,us,us70008zdf,2020-07-09T14:31:25.040Z,"21 km ENE of Falls City, Texas",earthquake,1.9,1.9,0.055,86,reviewed,us,us
2020-02-09T04:24:00.631Z,28.5241,-98.1921,5,2.7,mb_lg,,145,0.389,1.09,us,us70007sx1,2020-04-25T22:19:57.040Z,"7km N of Three Rivers, Texas",earthquake,1.4,1.9,0.111,21,reviewed,us,us
2020-01-22T21:23:39.640Z,29.0723,-97.851,6.87,2.6,mb_lg,,84,0.147,0.7,us,us60007d82,2020-04-11T18:20:39.040Z,"21km NNE of Karnes City, Texas",earthquake,1.5,4.5,0.128,18,reviewed,us,us
2020-01-07T22:46:29.996Z,28.9765,-97.9207,5,2.9,mb_lg,,59,0.06,0.78,us,us70006w2x,2021-01-03T00:26:48.840Z,"10km N of Karnes City, Texas",earthquake,1.7,1.8,0.083,38,reviewed,us,us
2019-12-20T08:41:07.329Z,29.0271,-97.9592,4.63,2.4,mb_lg,,51,0.081,0.47,us,us70006p53,2020-03-07T17:47:38.040Z,"12km ESE of Poth, Texas",earthquake,1.3,3.1,0.142,13,reviewed,us,us
2019-10-31T12:37:59.184Z,28.537,-98.1654,5,2.7,mb_lg,,146,0.399,1.05,us,us700061lb,2020-01-18T20:00:50.040Z,"8km N of Three Rivers, Texas",earthquake,1.9,1.2,0.114,20,reviewed,us,us
2019-07-02T07:51:27.868Z,28.9565,-98.008,5,2.4,mb_lg,,123,0.026,0.68,us,us60004y6d,2019-09-26T14:29:59.040Z,"13km NW of Karnes City, Texas",earthquake,2.5,1.9,0.093,30,reviewed,us,us
2019-06-24T22:05:03.052Z,28.5413,-98.1764,5,2.8,mb_lg,,114,0.439,0.86,us,us60004y67,2019-09-11T15:19:45.040Z,"9km N of Three Rivers, Texas",earthquake,1.5,2,0.102,25,reviewed,us,us
2019-06-16T01:07:18.009Z,28.9484,-97.9834,5,3.6,mb_lg,,56,0.002,1.27,us,us60004195,2020-03-20T02:15:57.713Z,"10km NW of Karnes City, Texas",earthquake,1.7,1.4,0.074,48,reviewed,us,us
2019-06-16T01:05:29.665Z,28.962,-97.9925,5,2.9,mb_lg,,67,0.018,0.67,us,us60004y66,2019-09-06T14:25:31.040Z,"12km NW of Karnes City, Texas",earthquake,1.7,1.5,0.128,16,reviewed,us,us
2019-04-23T11:29:03.295Z,29.024,-97.5905,5,2.1,mb_lg,,223,0.861,1.14,us,us70003ayn,2019-07-13T18:42:35.040Z,"9km WNW of Yorktown, Texas",earthquake,3.4,2,0.136,14,reviewed,us,us
2019-03-23T10:28:50.219Z,29.0376,-97.9149,5,2.9,mb_lg,,55,0.107,0.66,us,us70003hf8,2019-06-06T18:54:19.040Z,"16km N of Karnes City, Texas",earthquake,2,1.9,0.077,44,reviewed,us,us
2019-03-16T20:55:49.382Z,29.0031,-97.869,7.37,2.8,mb_lg,,74,0.112,0.92,us,us1000jh70,2019-06-01T21:24:10.040Z,"13km NNE of Karnes City, Texas",earthquake,1.3,2.5,0.081,40,reviewed,us,us
2019-03-04T19:16:13.050Z,29.0257,-97.2069,5,3,mb_lg,,207,0.764,0.48,us,us1000jaf7,2019-05-14T18:36:21.040Z,"11km SE of Cuero, Texas",earthquake,3,2,0.082,39,reviewed,us,us
2019-02-17T01:33:34.940Z,29.048,-97.9718,5,2.4,mb_lg,,114,0.56,0.85,us,us2000jjcz,2019-05-01T22:01:00.040Z,"10km ESE of Poth, Texas",earthquake,2.2,2,0.142,13,reviewed,us,us
2019-01-27T03:48:10.710Z,28.5293,-98.2877,5,2.6,mb_lg,,108,0.531,0.62,us,us2000j9cg,2019-04-12T17:15:37.040Z,"12km NW of Three Rivers, Texas",earthquake,3.2,2,0.109,22,reviewed,us,us
2019-01-26T04:53:31.530Z,28.5296,-98.1691,5,2.7,mb_lg,,122,0.453,0.71,us,us2000j940,2019-04-12T17:15:16.040Z,"7km N of Three Rivers, Texas",earthquake,2.4,2,0.09,32,reviewed,us,us
