,WTI Spot Price,Brent Spot Price
2011-01-01,91.59,95.82
2011-01-02,91.59,95.82
2011-01-03,91.59,95.82
2011-01-04,89.39,93.52
2011-01-05,90.3,95.07
2011-01-06,88.37,94.95
2011-01-07,88.07,94.25
2011-01-08,88.07,94.25
2011-01-09,88.07,94.25
2011-01-10,89.24,95.05
2011-01-11,91.11,96.8
2011-01-12,91.85,97.86
2011-01-13,91.39,97.86
2011-01-14,91.53,97.86
2011-01-15,91.53,97.86
2011-01-16,91.53,97.86
2011-01-17,91.53,97.86
2011-01-18,91.38,97.83
2011-01-19,90.85,98.42
2011-01-20,88.56,96.27
2011-01-21,88.22,96.84
2011-01-22,88.22,96.84
2011-01-23,88.22,96.84
2011-01-24,86.74,96.76
2011-01-25,85.08,96.76
2011-01-26,86.15,96.04
2011-01-27,84.45,96.48
2011-01-28,88.15,97.06
2011-01-29,88.15,97.06
2011-01-30,88.15,97.06
2011-01-31,90.99,98.97
2011-02-01,89.54,100.4
2011-02-02,89.78,101.3
2011-02-03,89.42,101.69
2011-02-04,87.87,99.43
2011-02-05,87.87,99.43
2011-02-06,87.87,99.43
2011-02-07,86.3,99.44
2011-02-08,85.85,99.25
2011-02-09,85.59,100.16
2011-02-10,85.44,100.74
2011-02-11,84.39,99.93
2011-02-12,84.39,99.93
2011-02-13,84.39,99.93
2011-02-14,83.66,103.12
2011-02-15,83.13,102.48
2011-02-16,83.8,102.78
2011-02-17,85.05,103.45
2011-02-18,85.03,102.2
2011-02-19,85.03,102.2
2011-02-20,85.03,102.2
2011-02-21,85.03,102.2
2011-02-22,92.65,106.82
2011-02-23,96.04,109.77
2011-02-24,95.83,113.91
2011-02-25,96.52,111.47
2011-02-26,96.52,111.47
2011-02-27,96.52,111.47
2011-02-28,97.1,112.27
2011-03-01,99.63,113.34
2011-03-02,102.27,116.89
2011-03-03,101.92,114.42
2011-03-04,104.34,115.71
2011-03-05,104.34,115.71
2011-03-06,104.34,115.71
2011-03-07,105.37,116.58
2011-03-08,105.06,112.32
2011-03-09,104.39,115.19
2011-03-10,102.73,114.07
2011-03-11,101.14,114.07
2011-03-12,101.14,114.07
2011-03-13,101.14,114.07
2011-03-14,101.2,112.95
2011-03-15,97.23,111.11
2011-03-16,97.99,110.96
2011-03-17,101.47,114.18
2011-03-18,101.06,114.13
2011-03-19,101.06,114.13
2011-03-20,101.06,114.13
2011-03-21,102.36,114.92
2011-03-22,104.53,115.63
2011-03-23,105.21,115.65
2011-03-24,105.04,115.41
2011-03-25,104.89,115.45
2011-03-26,104.89,115.45
2011-03-27,104.89,115.45
2011-03-28,103.54,115.95
2011-03-29,104.34,115.58
2011-03-30,103.8,115.35
2011-03-31,106.19,116.94
2011-04-01,107.55,118.63
2011-04-02,107.55,118.63
2011-04-03,107.55,118.63
2011-04-04,108.14,120.07
2011-04-05,107.82,122.87
2011-04-06,108.38,123.01
2011-04-07,109.82,122.9
2011-04-08,112.27,126.3
2011-04-09,112.27,126.3
2011-04-10,112.27,126.3
2011-04-11,109.5,126.46
2011-04-12,105.75,121.33
2011-04-13,106.6,122.7
2011-04-14,107.73,122.74
2011-04-15,109.17,124.63
2011-04-16,109.17,124.63
2011-04-17,109.17,124.63
2011-04-18,106.7,121.69
2011-04-19,107.18,121.35
2011-04-20,110.84,124.26
