,Rig Count
2009-12-04,12.0
2009-12-05,12.0
2009-12-06,12.0
2009-12-07,12.0
2009-12-08,12.0
2009-12-09,12.0
2009-12-10,12.0
2009-12-11,12.0
2009-12-12,16.0
2009-12-13,16.0
2009-12-14,16.0
2009-12-15,16.0
2009-12-16,16.0
2009-12-17,16.0
2009-12-18,16.0
2009-12-19,18.0
2009-12-20,18.0
2009-12-21,18.0
2009-12-22,18.0
2009-12-23,18.0
2009-12-24,18.0
2009-12-25,18.0
2009-12-26,18.0
2009-12-27,18.0
2009-12-28,18.0
2009-12-29,18.0
2009-12-30,18.0
2009-12-31,18.0
2010-01-01,19.0
2010-01-02,19.0
2010-01-03,19.0
2010-01-04,19.0
2010-01-05,19.0
2010-01-06,19.0
2010-01-07,19.0
2010-01-08,19.0
2010-01-09,18.0
2010-01-10,18.0
2010-01-11,18.0
2010-01-12,18.0
2010-01-13,18.0
2010-01-14,18.0
2010-01-15,18.0
2010-01-16,17.0
2010-01-17,17.0
2010-01-18,17.0
2010-01-19,17.0
2010-01-20,17.0
2010-01-21,17.0
2010-01-22,17.0
2010-01-23,16.0
2010-01-24,16.0
2010-01-25,16.0
2010-01-26,16.0
2010-01-27,16.0
2010-01-28,16.0
2010-01-29,16.0
2010-01-30,14.0
2010-01-31,14.0
2010-02-01,14.0
2010-02-02,14.0
2010-02-03,14.0
2010-02-04,14.0
2010-02-05,14.0
2010-02-06,20.0
2010-02-07,20.0
2010-02-08,20.0
2010-02-09,20.0
2010-02-10,20.0
2010-02-11,20.0
2010-02-12,20.0
2010-02-13,20.0
2010-02-14,20.0
2010-02-15,20.0
2010-02-16,20.0
2010-02-17,20.0
2010-02-18,20.0
2010-02-19,20.0
2010-02-20,20.0
2010-02-21,20.0
2010-02-22,20.0
2010-02-23,20.0
2010-02-24,20.0
2010-02-25,20.0
2010-02-26,20.0
2010-02-27,22.0
2010-02-28,22.0
2010-03-01,22.0
2010-03-02,22.0
2010-03-03,22.0
2010-03-04,22.0
2010-03-05,22.0
2010-03-06,24.0
2010-03-07,24.0
2010-03-08,24.0
2010-03-09,24.0
2010-03-10,24.0
2010-03-11,24.0
2010-03-12,24.0
2010-03-13,23.0
2010-03-14,23.0
2010-03-15,23.0
2010-03-16,23.0
2010-03-17,23.0
2010-03-18,23.0
2010-03-19,23.0
2010-03-20,20.0
2010-03-21,20.0
2010-03-22,20.0
2010-03-23,20.0
2010-03-24,20.0
2010-03-25,20.0
2010-03-26,20.0
2010-03-27,22.0
2010-03-28,22.0
2010-03-29,22.0
2010-03-30,22.0
2010-03-31,22.0
2010-04-01,22.0
2010-04-02,26.0
2010-04-03,26.0
2010-04-04,26.0
2010-04-05,26.0
2010-04-06,26.0
2010-04-07,26.0
2010-04-08,26.0
2010-04-09,26.0
2010-04-10,26.0
2010-04-11,26.0
2010-04-12,26.0
2010-04-13,26.0
2010-04-14,26.0
2010-04-15,26.0
2010-04-16,26.0
2010-04-17,26.0
2010-04-18,26.0
2010-04-19,26.0
2010-04-20,26.0
2010-04-21,26.0
2010-04-22,26.0
2010-04-23,26.0
2010-04-24,25.0
2010-04-25,25.0
2010-04-26,25.0
2010-04-27,25.0
2010-04-28,25.0
2010-04-29,25.0
2010-04-30,25.0
2010-05-01,22.0
2010-05-02,22.0
2010-05-03,22.0
2010-05-04,22.0
2010-05-05,22.0
2010-05-06,22.0
2010-05-07,22.0
2010-05-08,25.0
2010-05-09,25.0
2010-05-10,25.0
2010-05-11,25.0
2010-05-12,25.0
2010-05-13,25.0
2010-05-14,25.0
2010-05-15,28.0
2010-05-16,28.0
2010-05-17,28.0
2010-05-18,28.0
2010-05-19,28.0
2010-05-20,28.0
2010-05-21,28.0
2010-05-22,30.0
2010-05-23,30.0
2010-05-24,30.0
2010-05-25,30.0
2010-05-26,30.0
2010-05-27,30.0
2010-05-28,30.0
2010-05-29,27.0
2010-05-30,27.0
2010-05-31,27.0
2010-06-01,27.0
2010-06-02,27.0
2010-06-03,27.0
2010-06-04,27.0
2010-06-05,26.0
2010-06-06,26.0
2010-06-07,26.0
2010-06-08,26.0
2010-06-09,26.0
2010-06-10,26.0
2010-06-11,26.0
2010-06-12,29.0
2010-06-13,29.0
2010-06-14,29.0
2010-06-15,29.0
2010-06-16,29.0
2010-06-17,29.0
2010-06-18,29.0
2010-06-19,30.0
2010-06-20,30.0
2010-06-21,30.0
2010-06-22,30.0
