StartDate,JobStartDate,JobEndDate,APINumber,OperatorName,WellName,TotalBaseWaterVolume,Purpose,IngredientName,PercentHFJob,Job_Duration,Sand_Purpose,Sand_IngredientName,Sum_Sand_PctHFJob,VolumeH2O_per_Day,Water_per_Ft
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-02,2012-03-02,2012-03-06,42255328870000,BHP Billiton Petroleum ,Gallo Rojo A 5H,3179106.0,Carrier/Base Fluid,Water,81.2725407742,4,Proppant,Silica Substrate,33.956147235799996,794776.5,602.103409090909
2012-03-24,2012-03-24,2012-03-26,42255322990000,Pioneer Natural Resources,Watson 01 01H,1974168.0,Carrier / Base Fluid,Water,87.37529970347879,2,Proppant,Crystalline Silica in the form of Quartz,11.5127320241041,987084.0,373.8954545454545
2012-05-29,2012-05-29,2012-06-05,42255324230000,Matador Production Company,Matador Pawelek Orca 2H,5902847.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Green-Cide 25G), Friction Reducer, Surfactant , Acid, Stabilizing Agent, Breaker, Gelling Agent, Cro",Water (Including Mix Water Supplied by Client)*,81.58709,7,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Green-Cide 25G), Friction Reducer, Surfactant , Acid, Stabilizing Agent, Breaker, Gelling Agent, Cro",Crystalline silica,17.94817,843263.8571428572,1117.9634469696969
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,,Crystalline silica (Quartz),19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,,Crystalline silica (Quartz),19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,,Crystalline silica (Quartz),19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,Proppant,Crystalline silica quartz,19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,Proppant,Crystalline silica quartz,19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,Proppant,Crystalline silica quartz,19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,,Crystalline silica (Quartz),19.31546,1903829.0,1802.8683712121212
2012-10-10,2012-10-10,2012-10-15,42255320710000,Murphy Exploration and Production USA,Latka Unit 2H,9519145.0,Carrier/Base Fluid,Water,92.22248,5,Proppant,Crystalline silica quartz,19.31546,1903829.0,1802.8683712121212
2012-11-11,2012-11-11,2013-11-16,42255326440000,BHP Billiton Petroleum ,Crisp A #2H,3184634.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Water (Including Mix Water Supplied by Client)*,88.26446,370,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Crystalline silica,10.83186,8607.118918918919,603.1503787878788
2012-11-29,2012-11-29,2012-12-02,42255326990000,BHP Billiton Petroleum ,Dzuik A 1H,2560718.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Water (Including Mix Water Supplied by Client)*,88.87875,3,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Crystalline silica,10.27447,853572.6666666666,484.9844696969697
2013-01-13,2013-01-13,2013-01-17,42255327500000,BHP Billiton Petroleum ,Nichols A 1H,2970668.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Water (Including Mix Water Supplied by Client)*,88.8628,4,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crosslinker, Iron Cont",Crystalline silica,10.31996,742667.0,562.6265151515152
2013-01-18,2013-01-18,2013-01-22,42255328340000,BHP Billiton Petroleum ,Moy A1H,3441109.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Water (Including Mix Water Supplied by Client)*,88.49247,4,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Crystalline silica,10.66934,860277.25,651.7251893939394
2013-02-21,2013-02-21,2013-03-12,42255327160000,BHP Billiton Petroleum ,A Greaves B 5H ,2741182.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Water (Including Mix Water Supplied by Client)*,88.64295,19,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Crystalline silica,10.4098,144272.73684210525,519.1632575757576
2013-02-22,2013-02-22,2013-02-26,42255327150000,BHP Billiton Petroleum ,A Greaves B 3H,2766771.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Water (Including Mix Water Supplied by Client)*,88.71319,4,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Crystalline silica,20.60652,691692.75,524.009659090909
2013-02-22,2013-02-22,2013-02-27,42255327150000,BHP Billiton Petroleum ,A Greaves B 3H,2766771.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Water (Including Mix Water Supplied by Client)*,88.71319,5,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Crystalline silica,20.60652,553354.2,524.009659090909
2013-02-22,2013-02-22,2013-02-27,42255327150000,BHP Billiton Petroleum ,A Greaves B 3H,2766771.0,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Water (Including Mix Water Supplied by Client)*,88.71319,5,"Inhibitor Aid , Corrosion Inhibitor, Bactericide (Myacide GA25), Antifoam Agent, Surfactant , Acid, Stabilizing Agent, Additive, Gelling Agent, Crossl",Crystalline silica,20.60652,553354.2,524.009659090909
